Date,NATIONAL_DEMAND,LONDON_TEMPERATURE,CARDIFF_TEMPERATURE,GLASGOW_TEMPERATURE,HOUR,DAY_OF_WEEK,NATIONAL_DEMAND-1
2024-03-01 01:00:00,51362,5.785,5.037,2.7345002,1,4,25469.0
2024-03-01 02:00:00,49342,5.235,4.937,2.2845001,2,4,51362.0
2024-03-01 03:00:00,47955,4.235,6.087,1.6344999,3,4,49342.0
2024-03-01 04:00:00,46596,4.035,5.737,1.2845,4,4,47955.0
2024-03-01 05:00:00,46370,4.235,6.187,1.3844999,5,4,46596.0
2024-03-01 06:00:00,51286,4.685,5.787,1.5845,6,4,46370.0
2024-03-01 07:00:00,60632,5.535,6.187,1.4844999,7,4,51286.0
2024-03-01 08:00:00,67737,5.835,5.887,1.4345,8,4,60632.0
2024-03-01 09:00:00,70675,6.185,5.737,2.3345,9,4,67737.0
2024-03-01 10:00:00,70880,6.985,5.637,3.7345002,10,4,70675.0
2024-03-01 11:00:00,68999,7.185,7.787,4.7345,11,4,70880.0
2024-03-01 12:00:00,67814,7.085,5.187,5.1844997,12,4,68999.0
2024-03-01 13:00:00,65740,8.185,6.437,5.3345,13,4,67814.0
2024-03-01 14:00:00,64029,8.535001,7.287,6.2844996,14,4,65740.0
2024-03-01 15:00:00,64243,8.435,6.487,6.0344996,15,4,64029.0
2024-03-01 16:00:00,67283,7.935,6.387,5.8845,16,4,64243.0
2024-03-01 17:00:00,73024,6.335,6.687,5.1345,17,4,67283.0
2024-03-01 18:00:00,76796,5.685,5.987,4.5845,18,4,73024.0
2024-03-01 19:00:00,76661,5.435,4.287,4.1844997,19,4,76796.0
2024-03-01 20:00:00,73486,5.235,5.087,3.7845001,20,4,76661.0
2024-03-01 21:00:00,68579,3.9850001,4.087,3.6345,21,4,73486.0
2024-03-01 22:00:00,62435,3.9850001,4.137,3.5345001,22,4,68579.0
2024-03-01 23:00:00,56556,4.435,3.987,3.2345002,23,4,62435.0
2024-03-02 00:00:00,52911,4.535,3.687,3.0845,0,5,56556.0
2024-03-02 01:00:00,53060,4.335,3.437,3.0345001,1,5,52911.0
2024-03-02 02:00:00,50892,4.685,3.137,2.9845002,2,5,53060.0
2024-03-02 03:00:00,49221,4.735,2.937,2.7845001,3,5,50892.0
2024-03-02 04:00:00,47253,4.735,3.287,2.9345,4,5,49221.0
2024-03-02 05:00:00,46653,5.1349998,2.687,2.9345,5,5,47253.0
2024-03-02 06:00:00,48467,5.485,3.137,2.1845,6,5,46653.0
2024-03-02 07:00:00,52424,5.8849998,3.487,2.0845,7,5,48467.0
2024-03-02 08:00:00,56690,6.035,3.387,2.7345002,8,5,52424.0
