date,NATIONAL_DEMAND,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,LONDON_TEMPERATURE,CARDIFF_TEMPERATURE,GLASSGOW_TEMPERATURE
2021-01-01 00:00:00,28354,26130,1018,6527.0,0,13080.0,-0.1935,-2.3465,-0.3245
2021-01-01 01:00:00,56260,51838,2065,6527.0,0,13080.0,-0.7435,-2.6965,-1.1244999
2021-01-01 02:00:00,52916,48725,2128,6527.0,0,13080.0,-1.1435,-2.8465,-1.4245
2021-01-01 03:00:00,50100,45950,2218,6527.0,0,13080.0,-1.7435,-3.1465,-0.72449994
2021-01-01 04:00:00,47959,43959,2302,6527.0,0,13080.0,-2.3935,-3.0965,-0.9245
2021-01-01 05:00:00,46851,43039,2383,6527.0,0,13080.0,-1.5935,-2.7965,-0.7745
2021-01-01 06:00:00,47426,43608,2410,6527.0,0,13080.0,-0.9935,-2.7465,-0.5245
2021-01-01 07:00:00,49510,45539,2395,6527.0,0,13080.0,-1.1435,-2.5965,-0.3245
2021-01-01 08:00:00,51111,47028,2414,6527.0,2,13080.0,-1.0935,-0.69649994,-0.2245
2021-01-01 09:00:00,54857,50559,2419,6527.0,241,13080.0,-0.9435,0.6535,0.47550002
2021-01-01 10:00:00,60218,55394,2395,6527.0,858,13080.0,-0.5935,1.7535,0.47550002
2021-01-01 11:00:00,64449,59071,2384,6527.0,1646,13080.0,0.056500003,3.2035,1.6755
2021-01-01 12:00:00,67609,61856,2448,6527.0,2140,13080.0,1.3565,2.7535,2.5755
2021-01-01 13:00:00,69698,63762,2461,6527.0,2180,13080.0,2.0065,3.3035,3.1755
2021-01-01 14:00:00,69930,64064,2394,6527.0,1745,13080.0,2.4065,3.3535,2.9754999
2021-01-01 15:00:00,70484,64449,2334,6527.0,644,13080.0,2.7065,3.1535,1.3255
2021-01-01 16:00:00,73584,67021,2290,6527.0,39,13080.0,2.6565,2.1035001,-0.97449994
2021-01-01 17:00:00,79347,71984,2294,6527.0,0,13080.0,3.1565,1.9535,-1.2745
2021-01-01 18:00:00,78469,71378,2269,6527.0,0,13080.0,3.4065,1.8535,-1.4745
2021-01-01 19:00:00,73859,67295,2235,6527.0,0,13080.0,3.6065,1.5534999,-1.5245
2021-01-01 20:00:00,69034,62908,2160,6527.0,0,13080.0,3.9065,1.4035,-1.6745
2021-01-01 21:00:00,64650,59111,2072,6527.0,0,13080.0,4.0065,2.0035,-1.5745
2021-01-01 22:00:00,60188,55031,1993,6527.0,0,13080.0,4.1064997,1.9035,-2.6745
2021-01-01 23:00:00,55163,50131,1937,6527.0,0,13080.0,4.1064997,1.2035,-2.6245
2021-01-02 00:00:00,51349,46600,1856,6527.0,0,13080.0,3.8565,0.95350003,-1.1745
2021-01-02 01:00:00,51550,46826,1824,6527.0,0,13080.0,4.0565,0.95350003,-1.2745
