"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","FORECAST_ACTUAL_INDICATOR","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW"
"2024-03-01",1,25469,"A",26824,23195,1232,6562,0,15905,0,8,818,2001,992,1003,-365,-382,999,1399,998,1408
"2024-03-01",2,25799,"A",26953,23523,1284,6562,0,15905,0,9,799,2000,992,1004,-304,-241,999,1399,997,1408
"2024-03-01",3,25563,"A",26955,23293,1336,6562,0,15905,0,137,475,2000,992,1004,-346,-309,999,1399,998,1408
"2024-03-01",4,24907,"A",26853,22681,1387,6562,0,15905,0,488,245,1999,993,1003,-397,-461,999,1399,997,1408
"2024-03-01",5,24435,"A",26736,22232,1433,6562,0,15905,0,795,65,2000,992,1003,-375,-531,999,1399,997,1387
"2024-03-01",6,24096,"A",26635,21928,1478,6562,0,15905,0,1033,-84,2000,992,1001,-375,-531,999,1399,997,1384
"2024-03-01",7,23859,"A",26603,21685,1565,6562,0,15905,0,1213,-111,1999,992,453,-400,-531,998,1399,997,1403
"2024-03-01",8,23441,"A",26199,21307,1652,6562,0,15905,0,1235,6,2000,990,399,-392,-531,998,1399,995,1407
"2024-03-01",9,23155,"A",25904,21053,1708,6562,0,15905,0,1237,8,2000,843,9,-381,-531,850,1399,874,1277
"2024-03-01",10,23041,"A",25723,20944,1763,6562,0,15905,0,1221,58,1994,826,0,-349,-512,825,1399,856,1265
"2024-03-01",11,23329,"A",25561,21232,1829,6562,0,15905,0,468,344,1500,633,-390,-315,-385,-74,1399,438,1349
"2024-03-01",12,24340,"A",26274,22151,1895,6562,0,15905,0,10,163,1463,619,-464,-372,-332,-156,1399,400,1360
"2024-03-01",13,26946,"A",29545,24492,1999,6562,0,15905,0,10,112,1958,389,-790,-451,-373,-375,1398,327,1403
"2024-03-01",14,28982,"A",31660,26344,2103,6562,0,15905,0,17,358,2002,-1,-746,-451,-476,-387,1399,331,1408
"2024-03-01",15,31650,"A",33249,28798,2237,6562,66,15905,0,17,118,2001,-1,352,-450,-531,270,1399,942,1408
"2024-03-01",16,33129,"A",34728,30132,2370,6562,251,15905,0,17,198,1998,-1,425,-450,-531,326,1398,994,1408
"2024-03-01",17,34608,"A",36202,31517,2497,6562,492,15905,0,12,69,1887,-1,957,-450,-531,950,1398,840,1408
"2024-03-01",18,35071,"A",36665,32014,2623,6562,838,15905,0,12,387,1875,-1,1003,-450,-531,999,1398,827,1408
"2024-03-01",19,35604,"A",37198,32538,2739,6562,1362,15905,0,12,609,1875,-1,1003,-450,-531,999,1398,826,1408
"2024-03-01",20,35543,"A",37138,32517,2854,6562,1764,15905,0,13,655,1874,-1,1003,-450,-531,999,1397,827,1407
"2024-03-01",21,35337,"A",36930,32392,2942,6562,2279,15905,0,11,580,1785,-1,1003,-450,-531,999,1397,915,1280
"2024-03-01",22,34858,"A",36451,31965,3030,6562,2818,15905,0,11,606,1780,-1,1004,-450,-531,1000,1398,924,1260
"2024-03-01",23,34141,"A",35608,31288,3064,6562,3483,15905,0,12,671,1888,-1,1003,-386,-468,999,1397,991,836
"2024-03-01",24,33927,"A",35189,31134,3098,6562,4430,15905,0,10,1017,1900,-1,1003,-237,-414,999,1397,997,793
"2024-03-01",25,33887,"A",35015,31090,3063,6562,4053,15905,0,7,1240,1901,-1,1005,-104,-416,999,1397,998,793
"2024-03-01",26,33219,"A",34233,30446,3027,6562,4150,15905,0,7,1310,1902,-1,1003,-106,-300,999,1397,997,788
"2024-03-01",27,32521,"A",33515,29810,2976,6562,4753,15905,0,7,1404,1986,-1,958,-129,-257,586,1397,988,452
"2024-03-01",28,32210,"A",33103,29546,2924,6562,3925,15905,0,8,1743,1993,-1,869,-77,-207,556,1397,988,414
"2024-03-01",29,31819,"A",32679,29232,2826,6562,3712,15905,0,8,1837,2000,-1,-194,27,-57,629,1397,996,42
"2024-03-01",30,32047,"A",32887,29512,2728,6562,3741,15905,0,7,2019,2000,-1,-231,65,0,634,1397,998,-1
"2024-03-01",31,32196,"A",33866,29647,2548,6562,2849,15905,0,11,2194,2001,-1,-729,209,0,905,1397,997,-329
"2024-03-01",32,33087,"A",34856,30529,2368,6562,2240,15905,0,6,2501,2000,-1,-772,328,-28,924,1397,997,-362
"2024-03-01",33,34196,"A",35717,31578,2200,6562,1573,15905,0,7,2810,2001,-1,-542,399,62,637,1397,997,-371
"2024-03-01",34,35707,"A",37199,32994,2031,6562,710,15905,0,5,3169,2001,-1,-509,338,86,616,1397,997,-377
"2024-03-01",35,37317,"A",37971,34555,1934,6562,195,15905,0,6,3074,1999,-1,264,189,-47,943,1397,997,125
"2024-03-01",36,38006,"A",38626,35159,1836,6562,3,15905,0,3,3126,2000,-1,316,43,-16,966,1397,998,181
"2024-03-01",37,38790,"A",39524,35806,1784,6562,79,15905,0,2,3219,2001,-1,856,-4,-127,977,1397,998,728
"2024-03-01",38,38629,"A",39491,35582,1732,6562,0,15905,0,4,3080,2000,-1,904,-85,-172,978,1397,998,777
"2024-03-01",39,38032,"A",38905,35156,1672,6562,0,15905,0,6,3108,2000,-1,996,-51,-215,1017,1397,998,777
"2024-03-01",40,37350,"A",38331,34602,1612,6562,0,15905,0,10,3075,2001,-1,1004,-127,-243,1019,1397,998,783
"2024-03-01",41,36136,"A",37224,33532,1552,6562,0,15905,0,9,2825,2001,-1,1003,-189,-289,1019,1397,998,1196
"2024-03-01",42,34869,"A",35979,32365,1492,6562,0,15905,0,8,2668,2000,-1,1002,-139,-362,1019,1397,998,1237
"2024-03-01",43,33710,"A",34616,31351,1434,6562,0,15905,0,7,2901,2000,-1,978,-70,-228,1001,1398,998,1323
"2024-03-01",44,32110,"A",32980,29884,1375,6562,0,15905,0,6,3090,2000,-1,975,-188,-75,999,1397,997,1329
